Sl. No. Col. (1),Crime Head Col. (2),Cases Pending Trial from the Previous Year - Col. (3),Cases Sent for Trial during the year - Col. (4),Total Cases for Trial (Col.3+Col.4) - Col. (5),Cases Abated by Court - Col. (6),Cases Withdrawn from Prosecution - Col. (7),Cases Compounded or Compromised - Col. (8),Cases Disposed off by Plea Bargaining - Col. (9),Cases Quashed - Col. (10),Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11),Cases Stayed or Sent to Record Room - Col. (12),Cases Convicted Out of Cases from Previous Year - Col. (13),Cases Convicted Out of Cases during the Year - Col. (14),Cases Convicted (Col.13+Col.14) - Col. (15),Cases Discharged - Col. (16),Cases Acquitted - Col. (17),Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18),Cases Disposed off by Courts (Col.11+Col.18) - Col. (19),Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20),Conviction Rate (Col.15/Col.18)*100 - Col. (21),Pendency Percentage (Col.20/Col.5)*100 - Col. (22)
11,Wrongful Restraint/Confinement,43431,10557,53988,30,12,1826,275,10,2153,7,1128,816,1944,130,3405,5479,7632,46356,35.5,85.9
12,Assault on Women with Intent to Outrage her Modesty,339005,73334,412339,161,53,5681,389,257,6541,105,7783,1028,8811,1844,22069,32724,39265,373074,26.9,90.5
12.1,Assault on Women with Intent to Outrage her Modesty,211882,41034,252916,102,33,3902,232,136,4405,81,4268,507,4775,934,14496,20205,24610,228306,23.6,90.3
12.2,Sexual Harassment,77176,15354,92530,37,15,796,109,70,1027,13,2293,412,2705,644,4251,7600,8627,83903,35.6,90.7
12.2.1,at Work or Office Premises,2643,431,3074,2,2,35,0,2,41,0,39,5,44,20,83,147,188,2886,29.9,93.9
12.2.2,In Public Transport System,2083,556,2639,0,1,8,0,0,9,0,93,17,110,35,139,284,293,2346,38.7,88.9
12.2.3,In Shelter Homes for women and Children,1625,388,2013,0,1,16,0,0,17,0,38,15,53,0,96,149,166,1847,35.6,91.8
12.2.4,Other Places,70825,13979,84804,35,11,737,109,68,960,13,2123,375,2498,589,3933,7020,7980,76824,35.6,90.6
12.3,Assault or use of Criminal Force on women with intent to Disrobe,25786,8628,34414,6,3,230,17,14,270,5,571,47,618,65,1538,2221,2491,31923,27.8,92.8
12.4,Voyeurism,3082,1007,4089,0,1,64,10,2,77,1,84,4,88,16,225,329,406,3683,26.7,90.1
12.5,Stalking,21079,7311,28390,16,1,689,21,35,762,5,567,58,625,185,1559,2369,3131,25259,26.4,89
13,Kidnapping and Abduction,207940,37974,245914,29,22,449,219,52,771,64,3237,715,3952,1267,10635,15854,16625,229289,24.9,93.2
13.1,Kidnapping and Abduction,61791,15159,76950,15,13,273,57,20,378,36,1105,373,1478,537,3288,5303,5681,71269,27.9,92.6
13.1.1,Missing Children Deemed as Kidnapped,11990,5248,17238,5,1,43,5,4,58,0,226,36,262,168,649,1079,1137,16101,24.3,93.4
13.1.2,Other Kidnapping & Abduction,49801,9911,59712,10,12,230,52,16,320,36,879,337,1216,369,2639,4224,4544,55168,28.8,92.4
13.2,Kidnapping and Abduction for the Purpose of Begging,159,27,186,0,0,0,0,0,0,0,2,3,5,0,6,11,11,175,45.5,94.1
13.3,Kidnapping and Abduction in order to Murder,9311,304,9615,0,1,1,0,2,4,2,69,22,91,3,354,448,452,9163,20.3,95.3
13.4,Kidnapping for Ransom,2335,447,2782,0,5,15,0,2,22,1,46,13,59,7,96,162,184,2598,36.4,93.4
13.5,Kidnapping and Abduction of Women to compel her for marriage,89187,15327,104514,11,2,97,154,16,280,15,1429,243,1672,516,4594,6782,7062,97452,24.7,93.2
13.6,Procuration of Minor Girls,5373,1469,6842,1,0,2,0,0,3,3,112,5,117,3,485,605,608,6234,19.3,91.1
13.7,Importation of Girls from Foreign Country,191,1,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,-,100
13.8,Other Kidnapping & Abducion,39593,5240,44833,2,1,61,8,12,84,7,474,56,530,201,1812,2543,2627,42206,20.8,94.1
14,Human Trafficking,2661,1023,3684,2,0,1,0,0,3,0,64,24,88,29,196,313,316,3368,28.1,91.4
15,Exploitation of Trafficked Person,285,150,435,0,0,4,0,0,4,0,9,16,25,0,10,35,39,396,71.4,91
16,Selling of Minors for Prostitution,531,30,561,0,0,0,0,0,0,0,4,1,5,0,8,13,13,548,38.5,97.7
17,Buying of Minors for Prostitution,162,3,165,0,0,0,0,0,0,0,1,1,2,0,1,3,3,162,66.7,98.2
18,Rape,137893,24848,162741,97,19,190,6,96,408,83,4198,442,4640,1431,10630,16701,17109,145632,27.8,89.5
19,Attempt to Commit Rape,11996,2935,14931,2,1,18,5,1,27,2,297,20,317,54,727,1098,1125,13806,28.9,92.5
20,Unnatural Offences,4098,959,5057,3,0,7,0,4,14,5,198,22,220,46,306,572,586,4471,38.5,88.4
Total,Offences Affecting the Human Body (Total),4074627,816394,4891021,4131,620,58838,8565,1311,73465,1728,93331,21812,115143,30192,241844,387179,460644,4430377,29.7,90.6
21,Offences against State,493,85,578,2,2,0,0,0,4,2,3,1,4,1,42,47,51,527,8.5,91.2
21.1,Sedition,76,40,116,0,0,0,0,0,0,1,0,1,1,0,29,30,30,86,3.3,74.1
21.2,Others,417,45,462,2,2,0,0,0,4,1,3,0,3,1,13,17,21,441,17.6,95.5
Total,Offences against the State (Total),493,85,578,2,2,0,0,0,4,2,3,1,4,1,42,47,51,527,8.5,91.2
22,Unlawful Assembly,35903,6932,42835,0,56,193,21,10,280,8,1596,209,1805,198,2070,4073,4353,38482,44.3,89.8
23,Riots,463423,42729,506152,55,111,1924,74,264,2428,314,4547,660,5207,2392,19242,26841,29269,476883,19.4,94.2
23.1,Communal/Religious,4867,414,5281,0,0,9,0,1,10,7,42,5,47,7,181,235,245,5036,20,95.4
23.2,Sectarian,905,104,1009,0,0,0,2,0,2,0,4,0,4,3,43,50,52,957,8,94.8
23.3,Industrial,868,283,1151,4,0,29,4,1,38,0,7,0,7,3,49,59,97,1054,11.9,91.6
23.4,Political,8101,1138,9239,9,5,92,0,40,146,1,107,5,112,4,710,826,972,8267,13.6,89.5
23.5,Caste Conflict,6247,454,6701,2,0,3,0,3,8,0,57,5,62,8,272,342,350,6351,18.1,94.8
23.6,Agrarian,9556,1689,11245,2,0,16,5,0,23,0,157,8,165,29,292,486,509,10736,34,95.5
23.7,Students,1991,337,2328,0,1,4,0,12,17,0,31,5,36,0,157,193,210,2118,18.7,91
23.8,Money Dispute,5369,853,6222,0,8,63,0,1,72,0,29,5,34,2,248,284,356,5866,12,94.3
23.9,Water Dispute,2623,643,3266,0,13,5,0,1,19,0,10,3,13,0,150,163,182,3084,8,94.4
23.1,Land/Property Dispute,93708,8532,102240,4,6,318,5,5,338,1,267,105,372,168,1997,2537,2875,99365,14.7,97.2
23.11,Family Disputes,21154,3217,24371,4,3,147,6,1,161,0,170,54,224,73,999,1296,1457,22914,17.3,94
23.12,Enmity/Rivalry,19583,3756,23339,1,15,96,0,33,145,32,191,14,205,44,1265,1514,1659,21680,13.5,92.9
23.13,Electricity/Power Supply Disputes,172,30,202,0,0,0,0,0,0,0,14,0,14,0,12,26,26,176,53.8,87.1
23.14,Rioting while in Aandolan/Morcha,12235,1499,13734,0,1,9,0,14,24,107,331,145,476,5,719,1200,1224,12510,39.7,91.1
23.15,Rioting/Attacks on Police Personnel or Govt Servants,6639,1147,7786,4,16,30,0,0,50,27,47,7,54,6,335,395,445,7341,13.7,94.3
23.16,Other Riots,269405,18633,288038,25,43,1103,52,152,1375,139,3083,299,3382,2040,11813,17235,18610,269428,19.6,93.5
24,Offences promoting enmity between different groups,1834,574,2408,1,2,5,0,2,10,3,39,5,44,11,110,165,175,2233,26.7,92.7
24.1,Promoting enmity between groups,1761,540,2301,1,2,5,0,2,10,2,37,5,42,9,108,159,169,2132,26.4,92.7
24.2,"Imputation, assertions prejudicial to national integration",73,34,107,0,0,0,0,0,0,1,2,0,2,2,2,6,6,101,33.3,94.4
25,Affray,11996,7994,19990,3,2,78,0,0,83,4,1509,2112,3621,39,629,4289,4372,15618,84.4,78.1
Total,Offences against Public Tranquillity (Total),513156,58229,571385,59,171,2200,95,276,2801,329,7691,2986,10677,2640,22051,35368,38169,533216,30.2,93.3
26,Theft,890454,150395,1040849,2203,610,16515,706,150,20184,1269,23631,6311,29942,6036,45865,81843,102027,938822,36.6,90.2
26.1,Auto/Motor Vehicle Theft,255462,51130,306592,857,82,5280,70,50,6339,308,7277,1597,8874,1642,14203,24719,31058,275534,35.9,89.9
26.2,Other Thefts,634992,99265,734257,1346,528,11235,636,100,13845,961,16354,4714,21068,4394,31662,57124,70969,663288,36.9,90.3
27,Burglary,292572,38281,330853,236,113,1417,30,43,1839,597,7750,1289,9039,3052,15523,27614,29453,301400,32.7,91.1
27.1,Day Time,53336,6164,59500,37,29,395,0,6,467,104,1253,321,1574,311,2667,4552,5019,54481,34.6,91.6
27.2,Night,239236,32117,271353,199,84,1022,30,37,1372,493,6497,968,7465,2741,12856,23062,24434,246919,32.4,91
28,Extortion & Blackmailing,27376,7424,34800,32,8,107,0,19,166,27,564,102,666,131,2170,2967,3133,31667,22.4,91
29,Robbery,158338,21055,179393,361,33,139,1,12,546,163,2963,679,3642,751,6682,11075,11621,167772,32.9,93.5
30,Attempt to Commit Dacoity/Robbery,1583,458,2041,2,0,2,0,0,4,8,47,15,62,23,134,219,223,1818,28.3,89.1
31,Dacoity,33214,2638,35852,99,0,13,1,5,118,141,305,19,324,104,1369,1797,1915,33937,18,94.7
31.1,Dacoity,32696,2595,35291,99,0,13,1,5,118,139,298,19,317,104,1357,1778,1896,33395,17.8,94.6
31.2,Dacoity with Murder,518,43,561,0,0,0,0,0,0,2,7,0,7,0,12,19,19,542,36.8,96.6
32,Making Preparation and Assembly for committing Dacoity,20573,3379,23952,114,1,0,0,1,116,46,135,7,142,57,1002,1201,1317,22635,11.8,94.5
33,Criminal Misappropriation,1333,243,1576,3,0,25,0,1,29,0,7,7,14,4,34,52,81,1495,26.9,94.9
34,Criminal Breach of Trust,110265,13151,123416,71,11,524,32,39,677,129,1243,109,1352,304,3524,5180,5857,117559,26.1,95.3
35,Dishonestly Receiving/Dealing-in Stolen Property,20478,6926,27404,4,0,79,0,1,84,3,1405,87,1492,74,887,2453,2537,24867,60.8,90.7
Total,Offences against Property (Total),1556186,243950,1800136,3125,776,18821,770,271,23763,2383,38050,8625,46675,10536,77190,134401,158164,1641972,34.7,91.2
36,Counterfeiting,8119,752,8871,8,3,1,0,1,13,26,143,9,152,27,241,420,433,8438,36.2,95.1
36.1,Counterfeit Coin,785,12,797,0,0,0,0,0,0,1,1,6,7,0,1,8,8,789,87.5,99
36.2,Counterfeiting Government Stamp,18,4,22,0,0,0,0,0,0,0,1,0,1,0,0,1,1,21,100,95.5
36.3,Counterfeiting of Seal or Mark,21,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-,100
36.4,Counterfeit Currency & Bank notes,7295,733,8028,8,3,1,0,1,13,25,141,3,144,27,240,411,424,7604,35,94.7
37,"Forgery, Cheating & Fraud",399465,69029,468494,280,87,4669,286,261,5583,998,5335,736,6071,2685,17818,26574,32157,436337,22.8,93.1
37.1,Fraud,46758,8170,54928,22,3,351,50,29,455,24,1056,116,1172,269,2309,3750,4205,50723,31.3,92.3
37.1.1,Bank,2125,513,2638,0,0,34,0,0,34,1,47,7,54,0,165,219,253,2385,24.7,90.4
37.1.2,ATMs,3068,1010,4078,2,0,20,0,1,23,1,190,62,252,7,180,439,462,3616,57.4,88.7
37.1.3,Credit Card/Debit Card,1271,351,1622,1,0,6,0,0,7,0,26,1,27,1,34,62,69,1553,43.5,95.7
37.1.4,Other Frauds,40294,6296,46590,19,3,291,50,28,391,22,793,46,839,261,1930,3030,3421,43169,27.7,92.7
37.2,Other Cheating,316577,52047,368624,235,79,4057,209,222,4802,913,3438,561,3999,2199,13908,20106,24908,343716,19.9,93.2
37.3,Other Forgery,36130,8812,44942,23,5,261,27,10,326,61,841,59,900,217,1601,2718,3044,41898,33.1,93.2
Total,Offences Relating to Documents & Property Marks (Total),407584,69781,477365,288,90,4670,286,262,5596,1024,5478,745,6223,2712,18059,26994,32590,444775,23.1,93.2
38,Offences relating to Elections,2295,4813,7108,13,2,120,0,6,141,6,186,1175,1361,6,782,2149,2290,4818,63.3,67.8
39,Disobedience to order duly promulgated by Public Servant,37343,25835,63178,15,6,104,114,33,272,21,5369,6720,12089,216,2870,15175,15447,47731,79.7,75.6
40,Harbouring an Offender,212,76,288,0,0,0,0,0,0,0,17,0,17,2,16,35,35,253,48.6,87.8
41,Offences relating to Adulteration or Sale of Food/Drugs,1905,2544,4449,4,1,58,0,19,82,0,528,984,1512,5,194,1711,1793,2656,88.4,59.7
42,Rash Driving on Public way,978492,374859,1353351,1099,204,16406,1007,122,18838,224,137762,120920,258682,5119,42741,306542,325380,1027971,84.4,76
42.1,Rash Driving on Public Way ,264875,137675,402550,494,29,4385,112,19,5039,21,61638,68364,130002,1068,7780,138850,143889,258661,93.6,64.3
42.2,Causing Hurt by Rash/Negligent Driving on Public Way ,370257,137707,507964,237,80,7844,698,50,8909,127,41816,33736,75552,3028,19834,98414,107323,400641,76.8,78.9
42.3,Causing Grievous Hurt by Rash/Negligent Driving on Public way,343360,99477,442837,368,95,4177,197,53,4890,76,34308,18820,53128,1023,15127,69278,74168,368669,76.7,83.3
43,Obstruction on Public way,107238,93630,200868,10,27,683,43,3,766,29,19022,51123,70145,105,3003,73253,74019,126849,95.8,63.2
44,Sale of obscene Books/Objects,1070,72,1142,2,0,7,0,0,9,4,37,28,65,11,93,169,178,964,38.5,84.4
45,Obscene Acts and Songs at Public Places,86305,23643,109948,59,3,1962,48,14,2086,7,4808,4694,9502,974,5667,16143,18229,91719,58.9,83.4
46,Offences relating to Religion,4329,907,5236,4,0,18,0,4,26,5,147,20,167,45,239,451,477,4759,37,90.9
47,Cheating by Impersonation,1875,587,2462,0,0,18,0,0,18,2,28,5,33,3,33,69,87,2375,47.8,96.5
48,Offences related to Mischief,7385,1763,9148,6,2,77,27,1,113,7,293,42,335,372,602,1309,1422,7726,25.6,84.5
49,Arson,39723,5228,44951,33,10,137,7,4,191,56,577,116,693,271,2169,3133,3324,41627,22.1,92.6
50,Criminal Trespass,101362,30694,132056,94,31,3617,116,82,3940,50,3932,858,4790,719,8615,14124,18064,113992,33.9,86.3
51,Cruelty by Husband or his Relatives,525579,96512,622091,164,148,8397,872,1030,10611,281,5366,579,5945,3284,31556,40785,51396,570695,14.6,91.7
52,Circulate False/Fake News/Rumours,274,263,537,0,0,9,0,0,9,0,2,5,7,1,13,21,30,507,33.3,94.4
53,Criminal Intimidation,236533,89518,326051,73,27,4366,1480,42,5988,37,9409,4538,13947,1918,23154,39019,45007,281044,35.7,86.2
54,Insult to the Modesty of Women,33645,5840,39485,14,6,1063,14,9,1106,9,445,53,498,192,1597,2287,3393,36092,21.8,91.4
Total,Miscellaneous IPC Crimes(Total),2165565,756784,2922349,1590,467,37042,3728,1369,44196,738,187928,191860,379788,13243,123344,516375,560571,2361778,73.5,80.8
55,Other IPC crimes,1819802,178701,1998503,625,253,16372,4499,440,22189,259,44788,17511,62299,10110,59734,132143,154332,1844171,47.1,92.3
Grand Total,Total Cognizable IPC crimes,10537413,2123924,12661337,9820,2379,137943,17943,3929,172014,6463,377269,243540,620809,69434,542264,1232507,1404521,11256816,50.4,88.9
