Sl. No. Col. (1),Crime Head Col. (2),Cases Pending Trial from the Previous Year - Col. (3),Cases Sent for Trial during the year - Col. (4),Total Cases for Trial (Col.3+Col.4) - Col. (5),Cases Abated by Court - Col. (6),Cases Withdrawn from Prosecution - Col. (7),Cases Compounded or Compromised - Col. (8),Cases Disposed off by Plea Bargaining - Col. (9),Cases Quashed - Col. (10),Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11),Cases Stayed or Sent to Record Room - Col. (12),Cases Convicted Out of Cases from Previous Year - Col. (13),Cases Convicted Out of Cases during the Year - Col. (14),Cases Convicted (Col.13+Col.14) - Col. (15),Cases Discharged - Col. (16),Cases Acquitted - Col. (17),Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18),Cases Disposed off by Courts (Col.11+Col.18) - Col. (19),Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20),Conviction Rate (Col.15/Col.18)*100 - Col. (21),Pendency Percentage (Col.20/Col.5)*100 - Col. (22)
1,Murder,201184,23563,224747,218,39,21,5,161,444,239,6284,677,6961,854,8803,16618,17062,207685,41.9,92.4
2,Culpable Homicide not amounting to Murder,20343,2691,23034,20,0,15,1,1,37,8,619,78,697,119,997,1813,1850,21184,38.4,92
3,Causing Death by Negligence,559724,107734,667458,2440,115,1359,424,68,4406,197,15484,3171,18655,6361,41797,66813,71219,596239,27.9,89.3
3.1,Deaths due to Negligence relating to Road Accidents,534918,101641,636559,2325,114,1290,421,42,4192,185,14635,2947,17582,6139,39711,63432,67624,568935,27.7,89.4
3.1.1,Hit and Run,151252,32056,183308,112,38,411,335,2,898,70,6223,1663,7886,2040,7178,17104,18002,165306,46.1,90.2
3.1.2,Other Accidents,383666,69585,453251,2213,76,879,86,40,3294,115,8412,1284,9696,4099,32533,46328,49622,403629,20.9,89.1
3.2,Deaths due to Negligence relating to Rail Accidents,60,11,71,0,0,0,0,0,0,0,0,0,0,0,37,37,37,34,0,47.9
3.3,Deaths due to Medical Negligence,392,108,500,0,0,0,1,1,2,0,6,1,7,6,22,35,37,463,20,92.6
3.4,Deaths due to Negligence of Civic Bodies,158,64,222,0,0,0,0,0,0,0,1,0,1,0,19,20,20,202,5,91
3.5,Deaths due to other Negligence,24196,5910,30106,115,1,69,2,25,212,12,842,223,1065,216,2008,3289,3501,26605,32.4,88.4
4,Dowry Deaths,43519,6287,49806,5,18,15,10,25,73,14,1132,121,1253,233,2030,3516,3589,46217,35.6,92.8
5,Abetment of Suicide,26151,6683,32834,44,17,47,3,19,130,18,569,97,666,140,3242,4048,4178,28656,16.5,87.3
6,Attempt to Commit Murder,238227,46010,284237,120,6,259,27,87,499,172,4005,602,4607,1382,12193,18182,18681,265556,25.3,93.4
7,Attempt to commit Culpable Homicide,24738,7166,31904,15,1,32,15,87,150,8,560,39,599,122,1367,2088,2238,29666,28.7,93
8,Attempt to Commit Suicide,7074,1290,8364,23,1,48,0,4,76,7,292,121,413,56,414,883,959,7405,46.8,88.5
9,"Miscarriage, Infanticide, Foeticide and Abandonment",1463,466,1929,2,0,3,0,2,7,11,41,4,45,30,92,167,174,1755,26.9,91
10,Hurt,2204202,462691,2666893,920,316,48863,7186,437,57722,788,47426,13817,61243,16094,122922,200259,257981,2408912,30.6,90.3
10.1,Simple Hurt,1529477,383226,1912703,756,274,44847,6398,356,52631,702,38990,12203,51193,13594,98908,163695,216326,1696377,31.3,88.7
10.1.1,Voluntarily Causing Simple Hurt,846010,214002,1060012,208,90,17589,5061,169,23117,225,25328,8904,34232,8973,46162,89367,112484,947528,38.3,89.4
10.1.2,Voluntarily causing hurt by Dangerous weapons or means,584361,141995,726356,485,161,25987,1102,156,27891,408,8988,1819,10807,3474,45797,60078,87969,638387,18,87.9
10.1.3,Voluntarily Causing hurt/Force to deter public servant from his duty,54305,14817,69122,51,11,224,110,25,421,48,1565,233,1798,527,4370,6695,7116,62006,26.9,89.7
10.1.4,Causing Hurt by act endangering life/safety of others,20931,8066,28997,11,8,690,15,5,729,7,1859,1180,3039,153,1378,4570,5299,23698,66.5,81.7
10.1.5,Other Simple Hurt,23870,4346,28216,1,4,357,110,1,473,14,1250,67,1317,467,1201,2985,3458,24758,44.1,87.7
10.2,Grievous Hurt,674725,79465,754190,164,42,4016,788,81,5091,86,8436,1614,10050,2500,24014,36564,41655,712535,27.5,94.5
10.2.1,Voluntarily causing grievous hurt,477380,55434,532814,54,26,2481,764,34,3359,33,6683,1175,7858,2070,16888,26816,30175,502639,29.3,94.3
10.2.2,Voluntarily causing grievous hurt by dangerous weapons or means,177980,18732,196712,96,9,940,24,45,1114,39,1243,128,1371,410,5969,7750,8864,187848,17.7,95.5
10.2.3,Acid Attack,632,199,831,0,0,1,0,0,1,1,26,0,26,2,26,54,55,776,48.1,93.4
10.2.4,Attempt to Acid Attack,142,44,186,0,0,0,0,0,0,0,3,0,3,0,7,10,10,176,30,94.6
10.2.5,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,4242,1461,5703,2,4,15,0,0,21,12,144,149,293,2,402,697,718,4985,42,87.4
10.2.6,Causing Grevious Hurt by act endangering life/safety of others,9569,2978,12547,12,3,578,0,2,595,1,325,159,484,16,662,1162,1757,10790,41.7,86
10.2.7,Other Grevious Hurt,4780,617,5397,0,0,1,0,0,1,0,12,3,15,0,60,75,76,5321,20,98.6
