Sl. No. Col. (1),Crime Head Col. (2),Cases Pending Trial from the Previous Year - Col. (3),Cases Sent for Trial during the year - Col. (4),Total Cases for Trial (Col.3+Col.4) - Col. (5),Cases Abated by Court - Col. (6),Cases Withdrawn from Prosecution - Col. (7),Cases Compounded or Compromised - Col. (8),Cases Disposed off by Plea Bargaining - Col. (9),Cases Quashed - Col. (10),Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11),Cases Stayed or Sent to Record Room - Col. (12),Cases Convicted Out of Cases from Previous Year - Col. (13),Cases Convicted Out of Cases during the Year - Col. (14),Cases Convicted (Col.13+Col.14) - Col. (15),Cases Discharged - Col. (16),Cases Acquitted - Col. (17),Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18),Cases Disposed off by Courts (Col.11+Col.18) - Col. (19),Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20),Conviction Rate (Col.15/Col.18)*100 - Col. (21),Pendency Percentage (Col.20/Col.5)*100 - Col. (22)
4,Dowry Deaths,41374,6652,48026,4,0,40,8,3,55,7,1347,112,1459,237,1985,3681,3736,44290,39.6,92.2
5,Abetment of Suicide,23875,6779,30654,14,4,33,5,49,105,10,545,83,628,166,3232,4026,4131,26523,15.6,86.5
6,Attempt to Commit Murder,224338,47454,271792,89,13,215,31,148,496,122,5143,434,5577,1448,14289,21314,21810,249982,26.2,92
7,Attempt to commit Culpable Homicide,21508,7526,29034,11,1,11,3,76,102,14,788,69,857,188,1232,2277,2379,26655,37.6,91.8
8,Attempt to Commit Suicide,5000,1571,6571,23,0,30,0,1,54,11,282,181,463,16,546,1025,1079,5492,45.2,83.6
9,"Miscarriage, Infanticide, Foeticide and Abandonment",1393,364,1757,1,0,1,0,0,2,5,29,8,37,14,102,153,155,1602,24.2,91.2
10,Hurt (Total),2030582,465959,2496541,745,1970,37421,9735,429,50300,1075,49611,19793,69404,11846,131897,213147,263447,2233094,32.6,89.4
10.1,Simple Hurt,1373918,390453,1764371,630,1847,32769,8622,305,44173,797,40407,17197,57604,9880,107237,174721,218894,1545477,33,87.6
10.1.1,Voluntarily Causing Simple Hurt,748227,215288,963515,161,1404,10069,6847,139,18620,411,24264,10202,34466,5279,49729,89474,108094,855421,38.5,88.8
10.1.2,Voluntarily causing hurt by Dangerous weapons or means,542886,139654,682540,409,403,21185,1586,140,23723,349,12432,3066,15498,3597,49025,68120,91843,590697,22.8,86.5
10.1.3,Voluntarily Causing hurt/Force to deter public servant from his duty,46477,15459,61936,53,33,175,35,23,319,32,1615,324,1939,164,4988,7091,7410,54526,27.3,88
10.1.4,Causing Hurt by act endangering life/safety of others,17453,12268,29721,6,7,939,73,2,1027,5,1448,3500,4948,556,2243,7747,8774,20947,63.9,70.5
10.1.5,Other Simple Hurt,18875,7784,26659,1,0,401,81,1,484,0,648,105,753,284,1252,2289,2773,23886,32.9,89.6
10.2,Grievous Hurt,656664,75506,732170,115,123,4652,1113,124,6127,278,9204,2596,11800,1966,24660,38426,44553,687617,30.7,93.9
10.2.1,Voluntarily causing grievous hurt,466661,51948,518609,54,111,3234,992,69,4460,130,7295,1570,8865,1269,16657,26791,31251,487358,33.1,94
10.2.2,Voluntarily causing grievous hurt by dangerous weapons or means,172799,18060,190859,53,6,934,114,50,1157,147,1432,168,1600,631,6895,9126,10283,180576,17.5,94.6
10.2.3,Acid Attack,571,158,729,0,0,2,0,1,3,0,27,1,28,1,26,55,58,671,50.9,92
10.2.4,Attempt to Acid Attack,135,37,172,0,0,1,0,0,1,0,3,0,3,0,8,11,12,160,27.3,93
10.2.5,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,3473,1627,5100,1,0,18,0,2,21,1,223,143,366,40,406,812,833,4267,45.1,83.7
10.2.6,Causing Grevious Hurt by act endangering life/safety of others,8615,3065,11680,7,3,441,0,0,451,0,215,700,915,8,500,1423,1874,9806,64.3,84
10.2.7,Other Grevious Hurt,4410,611,5021,0,3,22,7,2,34,0,9,14,23,17,168,208,242,4779,11.1,95.2
11,Wrongful Restraint/Confinement,41059,11746,52805,23,7,1947,410,8,2395,13,1526,441,1967,279,3897,6143,8538,44267,32,83.8
12,Assault on Women with Intent to Outrage her Modesty (Total),309333,75101,384434,118,121,4044,514,214,5011,84,7694,1658,9352,1787,24253,35392,40403,344031,26.4,89.5
12.1,Assault on Women with Intent to Outrage her Modesty,200433,39698,240131,78,83,2627,364,135,3287,60,4389,1018,5407,798,16129,22334,25621,214510,24.2,89.3
12.2,Sexual Harassment,69165,18078,87243,29,36,755,123,46,989,13,2143,399,2542,757,4791,8090,9079,78164,31.4,89.6
12.2.1,at Work or Office Premises,2504,309,2813,1,0,27,0,1,29,0,24,4,28,3,79,110,139,2674,25.5,95.1
12.2.2,In Public Transport System,1838,629,2467,1,5,19,0,3,28,0,128,29,157,17,160,334,362,2105,47,85.3
12.2.3,In Shelter Homes for women and Children,1375,608,1983,0,0,23,0,0,23,0,31,1,32,4,79,115,138,1845,27.8,93
12.2.4,Other Places,63448,16532,79980,27,31,686,123,42,909,13,1960,365,2325,733,4473,7531,8440,71540,30.9,89.4
12.3,Assault or use of Criminal Force on women with intent to Disrobe,20943,8236,29179,4,1,124,13,16,158,6,539,46,585,101,1578,2264,2422,26757,25.8,91.7
12.4,Voyeurism,2338,1156,3494,0,0,27,5,0,32,0,90,16,106,24,172,302,334,3160,35.1,90.4
12.5,Stalking,16454,7933,24387,7,1,511,9,17,545,5,533,179,712,107,1583,2402,2947,21440,29.6,87.9
13,Kidnapping and Abduction (Total),189411,38908,228319,21,22,532,79,34,688,55,4069,904,4973,887,11171,17031,17719,210600,29.2,92.2
13.1,Kidnapping and Abduction,51713,15286,66999,7,3,251,14,16,291,28,1238,252,1490,302,2978,4770,5061,61938,31.2,92.4
13.1.1,Missing Children Deemed as Kidnapped,8913,4739,13652,1,1,41,0,4,47,11,241,40,281,109,627,1017,1064,12588,27.6,92.2
13.1.2,Other Kidnapping & Abduction,42800,10547,53347,6,2,210,14,12,244,17,997,212,1209,193,2351,3753,3997,49350,32.2,92.5
13.2,Kidnapping and Abduction for the Purpose of Begging,110,57,167,0,0,0,0,0,0,0,3,1,4,0,3,7,7,160,57.1,95.8
13.3,Kidnapping and Abduction in order to Murder,9062,596,9658,0,0,1,0,0,1,1,116,6,122,11,119,252,253,9405,48.4,97.4
13.4,Kidnapping for Ransom,2100,425,2525,1,0,7,1,1,10,1,76,11,87,14,77,178,188,2337,48.9,92.6
13.5,Kidnapping and Abduction of Women to compel her for marriage,84077,15437,99514,8,18,234,45,6,311,19,1846,322,2168,318,5319,7805,8116,91398,27.8,91.8
13.6,Procuration of Minor Girls,4539,1625,6164,2,0,0,0,0,2,1,83,14,97,0,634,731,733,5431,13.3,88.1
13.7,Importation of Girls from Foreign Country,196,1,197,0,0,0,0,0,0,0,0,0,0,0,6,6,6,191,0,97
13.8,Other Kidnapping & Abducion,37614,5481,43095,3,1,39,19,11,73,5,707,298,1005,242,2035,3282,3355,39740,30.6,92.2
14,Human Trafficking,1949,1005,2954,0,0,1,0,1,2,0,60,23,83,14,146,243,245,2709,34.2,91.7
15,Exploitation of Trafficked Person,165,166,331,0,0,0,0,0,0,0,0,14,14,0,23,37,37,294,37.8,88.8
16,Selling of Minors for Prostitution,521,38,559,0,0,0,0,0,0,0,4,0,4,0,6,10,10,549,40,98.2
17,Buying of Minors for Prostitution,165,2,167,0,0,0,0,0,0,0,1,1,2,0,2,4,4,163,50,97.6
18,Rape,127858,28469,156327,50,17,209,38,58,372,45,4042,666,4708,1472,11133,17313,17685,138642,27.2,88.7
19,Attempt to Commit Rape,11077,3116,14193,1,1,14,7,0,23,2,225,41,266,63,726,1055,1078,13115,25.2,92.4
20,Unnatural Offences,3813,1125,4938,2,0,6,2,1,11,6,205,32,237,39,283,559,570,4368,42.4,88.5
Total,Offences Affecting the Human Body (Total),3775145,834307,4609452,3018,2266,45970,11220,1119,63593,1969,98979,29168,128147,22394,261765,412306,475899,4133553,31.1,89.7
21,Offences against State (Total),450,66,516,0,0,0,0,0,0,0,2,1,3,1,19,23,23,493,13,95.5
21.1,Sedition,52,38,90,0,0,0,0,0,0,0,2,0,2,0,11,13,13,77,15.4,85.6
21.2,Others,398,28,426,0,0,0,0,0,0,0,0,1,1,1,8,10,10,416,10,97.7
Total,Offences against the State (Total),450,66,516,0,0,0,0,0,0,0,2,1,3,1,19,23,23,493,13,95.5
22,Unlawful Assembly,32191,7716,39907,1,89,274,16,11,391,41,1041,250,1291,151,2310,3752,4143,35764,34.4,89.6
23,Riots (Total),447434,50475,497909,23,669,2483,199,123,3497,372,4656,643,5299,946,21957,28202,31699,466210,18.8,93.6
23.1,Communal/Religious,4657,612,5269,0,14,7,9,1,31,8,94,2,96,50,237,383,414,4855,25.1,92.1
23.2,Sectarian,1305,171,1476,0,0,0,0,0,0,0,48,0,48,1,110,159,159,1317,30.2,89.2
23.3,Industrial,746,184,930,0,0,4,0,0,4,0,11,0,11,0,47,58,62,868,19,93.3
23.4,Political,7615,1465,9080,2,26,31,0,16,75,15,157,39,196,21,600,817,892,8188,24,90.2
23.5,Caste Conflict,6164,736,6900,0,0,7,1,0,8,1,63,2,65,20,251,336,344,6556,19.3,95
23.6,Agrarian,9002,1798,10800,0,1,48,2,1,52,0,306,26,332,87,428,847,899,9901,39.2,91.7
23.7,Students,1746,449,2195,0,1,0,0,7,8,11,36,21,57,8,144,209,217,1978,27.3,90.1
23.8,Vigilants,2,3,5,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,100,80
23.9,Money Dispute,5570,1032,6602,0,3,67,1,4,75,0,86,6,92,0,504,596,671,5931,15.4,89.8
23.1,Water Dispute,2446,582,3028,0,3,48,0,2,53,1,27,4,31,1,317,349,402,2626,8.9,86.7
23.11,Land/Property Dispute,86717,10998,97715,3,19,449,10,11,492,8,370,96,466,71,2651,3188,3680,94035,14.6,96.2
23.12,Family Disputes,18655,3438,22093,2,18,234,6,15,275,0,174,59,233,25,1040,1298,1573,20520,18,92.9
23.13,Enmity/Rivalry,18375,4112,22487,0,3,194,5,14,216,43,297,22,319,21,1592,1932,2148,20339,16.5,90.4
23.14,Electricity/Power Supply Disputes,93,61,154,0,0,2,0,0,2,0,5,0,5,0,7,12,14,140,41.7,90.9
23.15,Rioting while in Aandolan/Morcha,11884,1757,13641,2,37,124,0,15,178,111,290,72,362,28,653,1043,1221,12420,34.7,91
23.16,Rioting/Attacks on Police Personnel or Govt Servants,6545,1247,7792,0,393,99,0,0,492,30,31,6,37,3,311,351,843,6949,10.5,89.2
23.17,Other Riots,265912,21830,287742,14,151,1169,165,37,1536,144,2661,287,2948,610,13065,16623,18159,269583,17.7,93.7
24,Offences promoting enmity between different groups (Total),1428,609,2037,1,0,12,0,4,17,5,20,9,29,1,106,136,153,1884,21.3,92.5
24.1,Promoting enmity between groups,1370,587,1957,1,0,12,0,4,17,4,20,8,28,1,105,134,151,1806,20.9,92.3
24.2,"Imputation, assertions prejudicial to national integration",58,22,80,0,0,0,0,0,0,1,0,1,1,0,1,2,2,78,50,97.5
25,Affray,10463,5624,16087,1,2,92,0,2,97,2,1418,1757,3175,33,607,3815,3912,12175,83.2,75.7
Total,Offences against Public Tranquillity (Total),491516,64424,555940,26,760,2861,215,140,4002,420,7135,2659,9794,1131,24980,35905,39907,516033,27.3,92.8
26,Theft (Total),853224,148917,1002141,423,947,17110,692,169,19341,1480,22692,8076,30768,5446,48638,84852,104193,897948,36.3,89.6
26.1,Auto/Motor Vehicle Theft,236730,50707,287437,91,337,4967,104,37,5536,266,7422,2317,9739,1379,14628,25746,31282,256155,37.8,89.1
26.2,Other Thefts,616494,98210,714704,332,610,12143,588,132,13805,1214,15270,5759,21029,4067,34010,59106,72911,641793,35.57845227,89.79843404
27,Burglary (Total),284082,39178,323260,167,256,1769,82,26,2300,670,7361,1817,9178,1542,16844,27564,29864,293396,33.3,90.8
27.1,Day Time,51909,7032,58941,29,56,331,10,7,433,97,1435,401,1836,236,2949,5021,5454,53487,36.6,90.7
27.2,Night,232173,32146,264319,138,200,1438,72,19,1867,573,5926,1416,7342,1306,13895,22543,24410,239909,32.6,90.8
28,Extortion & Blackmailing,24471,7405,31876,22,21,215,4,15,277,33,593,122,715,159,2178,3052,3329,28547,23.4,89.6
29,Robbery,148145,22546,170691,73,31,179,6,19,308,170,3270,751,4021,660,6833,11514,11822,158869,34.9,93.1
30,Attempt to Commit Dacoity/Robbery,1236,517,1753,0,0,6,0,2,8,5,45,7,52,2,108,162,170,1583,32.1,90.3
31,Dacoity (Total),32482,2910,35392,4,10,21,1,6,42,24,426,17,443,69,1487,1999,2041,33351,22.2,94.2
31.1,Dacoity,32080,2871,34951,4,10,21,1,6,42,24,416,17,433,66,1479,1978,2020,32931,21.9,94.2
31.2,Dacoity with Murder,402,39,441,0,0,0,0,0,0,0,10,0,10,3,8,21,21,420,47.6,95.2
32,Making Preparation and Assembly for committing Dacoity,19870,3401,23271,0,0,1,0,3,4,37,169,13,182,50,1018,1250,1254,22017,14.6,94.6
33,Criminal Misappropriation,1451,146,1597,0,0,2,0,0,2,0,1,0,1,0,12,13,15,1582,7.7,99.1
34,Criminal Breach of Trust,105539,13114,118653,46,40,709,37,29,861,180,1226,138,1364,331,4101,5796,6657,111996,23.5,94.4
35,Dishonestly Receiving/Dealing-in Stolen Property,15548,6332,21880,0,2,79,0,2,83,7,1020,193,1213,30,922,2165,2248,19632,56,89.7
Total,Offences against Property (Total),1486048,244466,1730514,735,1307,20091,822,271,23226,2606,36803,11134,47937,8289,82141,138367,161593,1568921,34.6,90.7
36,Counterfeiting (Total),8016,839,8855,3,1,1,0,1,6,21,132,9,141,18,268,427,433,8422,33,95.1
36.1,Counterfeit Coin,781,11,792,0,0,0,0,0,0,0,19,0,19,0,14,33,33,759,57.6,95.8
36.2,Counterfeiting Government Stamp,12,6,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,NA,100
36.3,Counterfeiting of Seal or Mark,10,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,NA,100
36.4,Counterfeit Currency & Bank notes,7213,811,8024,3,1,1,0,1,6,18,113,9,122,18,254,394,400,7624,31,95
37,"Forgery, Cheating & Fraud (Total)",370859,68920,439779,225,72,4923,441,285,5946,972,5236,708,5944,1275,17512,24731,30677,409102,24,93
37.1,Fraud,41251,8550,49801,21,2,303,83,54,463,53,943,106,1049,97,2260,3406,3869,45932,30.8,92.2
37.1.1,Bank,1717,576,2293,0,0,27,0,0,27,11,38,4,42,7,89,138,165,2128,30.4,92.8
37.1.2,ATMs,2312,1037,3349,0,0,32,1,2,35,11,98,58,156,13,84,253,288,3061,61.7,91.4
37.1.3,Credit Card/Debit Card,981,392,1373,2,1,12,2,2,19,10,28,3,31,0,49,80,99,1274,38.8,92.8
37.1.4,Other Frauds,36241,6545,42786,19,1,232,80,50,382,21,779,41,820,77,2038,2935,3317,39469,27.9,92.2
37.2,Other Cheating,297816,51558,349374,182,59,4255,337,208,5041,850,3217,326,3543,1012,13396,17951,22992,326382,19.7,93.4
37.3,Other Forgery,31792,8812,40604,22,11,365,21,23,442,69,1076,276,1352,166,1856,3374,3816,36788,40.1,90.6
Total,Offences Relating to Documents & Property Marks (Total),378875,69759,448634,228,73,4924,441,286,5952,993,5368,717,6085,1293,17780,25158,31110,417524,24.2,93.1
38,Offences relating to Elections,1712,1241,2953,4,1,4,0,4,13,0,171,153,324,3,258,585,598,2355,55.4,79.7
39,Disobedience to order duly promulgated by Public Servant,29888,19358,49246,9,15,152,93,5,274,70,3378,5187,8565,487,2233,11285,11559,37687,75.9,76.5
40,Harbouring an Offender,163,65,228,0,0,0,0,0,0,0,5,3,8,0,8,16,16,212,50,93
41,Offences relating to Adulteration or Sale of Food/Drugs,1455,1703,3158,0,0,62,0,0,62,0,403,667,1070,2,116,1188,1250,1908,90.1,60.4
42,Rash Driving on Public way (Total),913944,403698,1317642,508,263,16715,1095,102,18683,789,126765,129208,255973,4368,48812,309153,327836,989806,82.8,75.1
42.1,Rash Driving on Public Way,249511,163663,413174,74,102,5110,239,11,5536,38,57676,74866,132542,776,7615,140933,146469,266705,94,64.6
42.2,Causing Hurt by Rash/Negligent Driving on Public Way,336348,142527,478875,259,50,8254,591,58,9212,542,36513,35050,71563,2746,24153,98462,107674,371201,72.7,77.5
42.3,Causing Grievous Hurt by Rash/Negligent Driving on Public way,328085,97508,425593,175,111,3351,265,33,3935,209,32576,19292,51868,846,17044,69758,73693,351900,74.4,82.7
43,Obstruction on Public way,81873,97476,179349,10,27,282,63,5,387,83,17626,48143,65769,157,4639,70565,70952,108397,93.2,60.4
44,Sale of obscene Books/Objects,830,435,1265,1,4,2,0,1,8,0,34,87,121,6,57,184,192,1073,65.8,84.8
45,Obscene Acts and Songs at Public Places,82655,22670,105325,54,27,2383,38,6,2508,30,3493,6744,10237,631,5505,16373,18881,86444,62.5,82.1
46,Offences relating to Religion,3608,1122,4730,1,1,9,3,0,14,4,72,60,132,18,226,376,390,4340,35.1,91.8
47,Cheating by Impersonation,1717,286,2003,0,0,16,0,0,16,1,7,2,9,1,44,54,70,1933,16.7,96.5
48,Offences related to Mischief,6675,1893,8568,14,4,125,9,0,152,3,150,56,206,247,544,997,1149,7419,20.7,86.6
49,Arson,38561,5868,44429,23,5,119,14,9,170,44,666,103,769,225,2666,3660,3830,40599,21,91.4
50,Criminal Trespass,93639,29242,122881,34,54,3753,106,20,3967,32,5397,805,6202,368,9920,16490,20457,102424,37.6,83.4
51,Cruelty by Husband or his Relatives,506552,82837,589389,121,120,9693,807,1190,11931,238,4481,501,4982,1586,31691,38259,50190,539199,13,91.5
52,Circulate False/Fake News/Rumours,171,122,293,0,0,2,0,0,2,0,2,4,6,1,7,14,16,277,42.9,94.5
53,Criminal Intimidation,202606,82998,285604,215,43,7230,1065,18,8571,34,11295,3292,14587,1564,23073,39224,47795,237809,37.2,83.3
54,Insult to the Modesty of Women,31858,6108,37966,17,2,1022,9,6,1056,18,439,76,515,161,2336,3012,4068,33898,17.1,89.3
Total,Miscellaneous IPC Crimes (Total),1997907,757122,2755029,1011,566,41569,3302,1366,47814,1346,174384,195091,369475,9825,132135,511435,559249,2195780,72.2,79.7
55,Other IPC Crimes,1837658,168566,2006224,594,574,19498,4062,254,24982,444,55382,22132,77514,8932,67371,153817,178799,1827425,50.4,91.1
Grand Total,Total Cognizable IPC Crimes,9967599,2138710,12106309,5612,5546,134913,20062,3436,169569,7778,378053,260902,638955,51865,586191,1277011,1446580,10659729,50,88.1
