Sl. No. Col. (1),Crime Head Col. (2),Cases Pending Trial from the Previous Year - Col. (3),Cases Sent for Trial during the year - Col. (4),Total Cases for Trial (Col.3+Col.4) - Col. (5),Cases Abated by Court - Col. (6),Cases Withdrawn from Prosecution - Col. (7),Cases Compounded or Compromised - Col. (8),Cases Disposed off by Plea Bargaining - Col. (9),Cases Quashed - Col. (10),Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11),Cases Stayed or Sent to Record Room - Col. (12),Cases Convicted Out of Cases from Previous Year - Col. (13),Cases Convicted Out of Cases during the Year - Col. (14),Cases Convicted (Col.13+Col.14) - Col. (15),Cases Discharged - Col. (16),Cases Acquitted - Col. (17),Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18),Cases Disposed off by Courts (Col.11+Col.18) - Col. (19),Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20),Conviction Rate (Col.15/Col.18)*100 - Col. (21),Pendency Percentage (Col.20/Col.5)*100 - Col. (22)
1,Murder,195820,25430,221250,190,26,53,10,41,320,115,6711,801,7512,853,9800,18165,18485,202765,41.4,91.6
2,Culpable Homicide not amounting to Murder,18983,2945,21928,13,0,13,5,4,35,6,787,97,884,126,1086,2096,2131,19797,42.2,90.3
3,Causing Death by Negligence (Total),526921,109951,636872,1713,84,1400,373,52,3622,399,15910,3810,19720,2959,45956,68635,72257,564615,28.7,88.7
3.1,Deaths due to Negligence relating to Road Accidents,506737,103199,609936,1635,76,1300,363,48,3422,383,14555,3603,18158,2757,43706,64621,68043,541893,28.1,88.8
3.1.1,Hit and Run,138048,30414,168462,113,0,509,240,25,887,176,4647,1342,5989,1124,8104,15217,16104,152358,39.4,90.4
3.1.2,Other Accidents,368689,72785,441474,1522,76,791,123,23,2535,207,9908,2261,12169,1633,35602,49404,51939,389535,24.6,88.2
3.2,Deaths due to Negligence relating to Rail Accidents,69,3,72,0,0,0,0,0,0,0,2,0,2,0,4,6,6,66,33.3,91.7
3.3,Deaths due to Medical Negligence,324,141,465,0,0,6,0,0,6,0,8,0,8,10,40,58,64,401,13.8,86.2
3.4,Deaths due to Negligence of Civic Bodies,141,25,166,1,0,0,0,0,1,2,0,0,0,0,7,7,8,158,0,95.2
3.5,Deaths due to other Negligence,19650,6583,26233,77,8,94,10,4,193,14,1345,207,1552,192,2199,3943,4136,22097,39.4,84.2
